country,country_clean
US,United States
"Korea, South",South Korea
Taiwan*,Taiwan
Czechia,Czech Republic
 Azerbaijan,Azerbaijan
Congo (Brazzaville),Congo
Congo (Kinshasa),Congo
Cote d'Ivoire,Ivory Coast
"Gambia, The",Gambia
Hong Kong,Hong Kong (China)
Hong Kong SAR,Hong Kong (China)
Iran (Islamic Republic of),Iran
Mainland China,China
North Ireland,United Kingdom
Puerto Rico,Puerto Rico (US)
Republic of Ireland,Ireland
Republic of Korea,South Korea
Republic of Moldova,Moldova
Republic of the Congo,DR Congo
Russian Federation,Russia
Taipei and environs,Taiwan
The Gambia,Gambia
Timor-Leste,East Timor
UK,United Kingdom
Viet Nam,Vietnam
occupied Palestinian territory,Palestine
Macau,Macau (China)
French Guiana,Guyana
Macao SAR,Macau (China)
The Bahamas,Bahamas
"Bahamas, The",Bahamas
